 467;          ;01 33 39.2;-78 30 17; 6.11
 468;          ;01 36 44.8;-58 16 15; 6.18
 469; 52Chi And;01 39 21.0;+44 23 10; 4.98
 470;          ;01 40 13.1;+53 52 06; 6.39
 471;          ;01 38 27.4;-36 31 42; 5.94
 472;   Alp Eri;01 37 42.9;-57 14 12; 0.46
 473;          ;01 38 51.8;-21 16 31; 5.58
 474;          ;01 38 50.0;-25 01 19; 6.70
 475;105    Psc;01 39 40.8;+16 24 21; 5.97
 476;          ;01 40 39.8;+43 17 52; 5.61
 477; 53Tau And;01 40 34.8;+40 34 37; 4.94
 478; 43    Cas;01 42 20.5;+68 02 35; 5.59
 479;          ;01 38 48.2;-53 26 20; 6.84
 480; 42    Cas;01 42 55.9;+70 37 21; 5.18
 481;          ;01 42 03.0;+61 02 18; 6.71
 482;          ;01 42 17.8;+58 37 40; 6.37
 483;          ;01 41 47.2;+42 36 49; 4.95
 484;          ;01 41 18.4;+25 44 45; 6.17
 485;          ;01 41 39.2;+30 02 50; 5.99
 486;          ;01 39 47.4;-56 11 53; 5.87
 487;          ;01 39 47.8;-56 11 41; 5.76
 488;          ;01 42 58.4;+61 25 18; 6.34
 489;106Nu  Psc;01 41 25.9;+05 29 15; 4.44
 490;          ;01 42 03.5;+35 14 44; 5.64
 491; 44    Cas;01 43 19.7;+60 33 04; 5.78
 492;          ;01 41 44.7;-11 19 29; 5.75
 493;107    Psc;01 42 29.8;+20 16 07; 5.24
 494;          ;01 41 27.3;-38 07 59; 6.17
 495;          ;01 43 16.5;+45 19 20; 6.34
 496;   Phi Per;01 43 39.6;+50 41 19; 4.07
 497;   Pi  Scl;01 42 08.6;-32 19 37; 5.25
 498;          ;01 42 03.0;-36 49 57; 5.72
 499;          ;01 44 17.9;+57 32 11; 6.21
 500;          ;01 42 43.5;-03 41 25; 4.99
 501;          ;01 41 41.1;-50 02 20; 6.64
