 238;00 42.3;-50 19;    ;
 239;00 43.3;-03 54;14.0;3
 240;00 43.8;+06 00;15.0;2
 241;00 42.5;-73 34;    ;
 242;00 42.7;-73 35;12.0;4
 243;00 44.6;+29 48;14.5;2
 244;00 44.5;-15 43;13.0;3
 245;00 44.8;-01 52;13.0;1
 246;00 45.9;+12 17;    ;
 247;00 45.8;-20 53;10.0;1
 248;00 44.5;-73 31;    ;
 249;00 44.5;-73 13;    ;
 250;00 46.0;+07 47;15.0;2
 251;00 46.5;+19 26;14.5;2
 252;00 46.7;+27 29;13.5;2
 253;00 46.3;-25 26; 7.5;1
 254;00 46.4;-31 34;13.0;1
 255;00 46.5;-11 37;12.5;1
 256;00 45.0;-73 38;12.0;4
 257;00 46.8;+08 11;13.5;2
 258;00 46.9;+27 30;15.0;3
 259;00 46.8;-02 55;12.5;3
 260;00 47.2;+27 33;14.5;2
 261;00 45.6;-73 15;    ;
 262;00 47.5;+31 50;15.0;2
 263;00 47.6;-13 14;14.0;3
 264;00 47.3;-38 24;    ;
 265;00 46.7;-73 37;12.0;4
 266;00 48.5;+32 08;12.5;2
 267;00 47.1;-73 25;    ;
 268;00 48.9;-05 20;13.5;1
 269;00 47.6;-73 40;12.0;4
 270;00 49.4;-08 47;13.0;3
 271;00 49.5;-02 01;13.0;2
 272;00 50.0;+35 42;    ;
 273;00 49.6;-07 02;13.0;3
 274;00 49.8;-07 12;13.0;1
 275;00 49.8;-07 12;13.5;1
 276;00 50.9;-22 49;14.0;3
 277;00 50.2;-08 43;13.0;3
 278;00 50.6;+47 25;12.5;1
 279;00 51.0;-02 20;14.0;2
 280;00 51.2;+24 12;14.5;2
 281;00 51.4;+56 29; 7.5;5
 282;00 51.4;+30 29;14.5;2
 283;00 52.0;-13 19;14.0;3
 284;00 52.3;-13 17;15.0;3
 285;00 52.4;-13 18;    ;
 286;00 52.3;-13 14;14.0;3
 287;00 52.2;+32 21;15.0;2
 288;00 51.4;-26 44; 9.0;6
 289;00 51.6;-31 21;12.0;1
 290;00 50.4;-73 17;12.0;4
 291;00 52.3;-08 53;14.0;3
 292;00 51.9;-72 58;    ;
 293;00 53.0;-07 22;14.0;3
 294;00 51.2;-73 29;    ;
 295;00 53.8;+31 23;13.5;2
 296;00 54.0;+31 32;15.5;2
 297;00 53.8;-07 29;    ;
 298;00 53.7;-07 29;13.5;3
 299;00 53.1;-72 18;11.5;4
 300;00 53.8;-37 50;10.0;1
 301;00 56.6;-10 35;    ;
 302;00 54.7;-10 47;    ;
 303;00 53.6;-16 48;    ;
 304;00 54.8;+23 59;14.0;2
 305;00 54.7;+11 58;15.5;2
 306;00 54.0;-72 21;12.5;4
 307;00 55.3;-01 54;14.0;2
 308;00 55.1;-01 55;    ;
 309;00 55.2;-10 05;12.5;1
 309;00 55.7;-10 05;    ;
 310;00 55.6;-01 54;    ;
 311;00 56.2;+30 08;14.0;2
 312;00 55.2;-52 55;    ;
 313;00 56.4;+30 14;    ;
 314;00 55.6;-32 07;15.0;3
 315;00 56.5;+30 13;12.5;2
 316;00 56.5;+30 13;    ;
 317;00 56.2;+43 39;15.0;3
 317;00 56.3;+43 39;14.0;3
 318;00 56.7;+30 17;15.0;2
 319;00 56.0;-44 00;    ;
 320;00 57.6;-20 58;15.0;3
 321;00 56.3;-05 08;14.5;3
 322;00 56.2;-43 52;    ;
 323;00 55.7;-53 07;    ;
 324;00 57.4;-40 38;    ;
 325;00 56.6;-05 16;16.0;3
 326;00 57.0;+26 44;15.0;2
 327;00 56.7;-05 16;13.0;3
 328;00 56.0;-53 03;    ;
 329;00 56.8;-05 12;13.0;3
 330;00 55.4;-72 37; 7.5;4
 331;00 55.8;-02 54;15.5;3
 332;00 57.5;+06 58;15.0;2
 333;00 57.6;-16 37;16.0;3
 333;00 57.6;-16 37;14.0;3
 334;00 57.6;-35 16;    ;
 335;00 57.9;-18 24;14.0;3
 336;00 57.6;-18 54;12.0;3
 337;00 58.5;-07 43;12.5;1
 337;01 00.5;-07 44;13.5;3
 338;00 59.2;+30 31;14.0;2
 339;00 57.0;-74 37;12.0;4
 340;00 59.3;-07 01;14.0;3
 341;00 59.5;-09 19;13.0;3
 341;00 59.6;-09 19;15.0;3
 342;00 59.5;-06 55;14.5;3
 343;00 59.6;-23 22;    ;
 344;01 00.4;-23 22;    ;
 345;01 00.1;-07 02;13.5;3
 346;00 58.2;-72 19;    ;
 347;01 00.1;-06 57;14.5;3
 348;00 59.7;-53 22;    ;
 349;01 00.6;-06 57;13.5;3
 350;01 00.7;-06 57;15.0;3
 351;01 00.8;-02 03;14.5;2
 352;01 00.9;-04 23;12.5;3
 353;01 01.3;-02 04;14.5;2
 354;01 01.9;+22 13;14.0;2
 355;01 01.9;-06 28;15.0;3
 356;01 02.0;-07 08;13.5;3
 357;01 02.1;-06 29;13.0;1
 358;01 03.6;+61 54;    ;
 359;01 03.1;-00 53;15.0;2
 360;01 01.9;-65 44;    ;
 361;01 01.4;-71 45;12.0;4
 362;01 01.5;-70 59; 8.0;6
 363;01 04.9;-16 42;15.0;3
 364;01 03.3;-00 59;14.0;3
 365;01 03.1;-35 17;    ;
 366;01 04.9;+62 06;12.0;5
 367;01 03.7;-12 28;    ;
 368;01 03.3;-43 24;    ;
 369;01 03.8;-17 55;14.0;3
 370;01 05.2;+32 17;    ;
 371;01 02.5;-72 13;    ;
 372;01 05.3;+32 18;    ;
 373;01 05.6;+32 10;    ;
 374;01 05.7;+32 38;14.5;2
 375;01 05.7;+32 13;16.0;3
 376;01 03.0;-72 57;    ;
 377;01 05.1;-20 11;    ;
 378;01 05.0;-30 19;14.0;3
 379;01 05.9;+32 23;14.0;2
 380;01 05.9;+32 21;14.0;2
 381;01 06.8;+61 27; 9.5;5
 382;01 06.0;+32 16;14.0;2
 383;01 06.0;+32 17;13.5;2
 384;01 06.0;+32 10;14.5;2
 385;01 06.1;+32 11;14.5;2
 386;01 06.1;+32 14;15.5;2
 387;01 06.1;+32 15;    ;
 388;01 06.4;+32 11;15.5;2
 389;01 07.1;+39 34;15.0;2
 390;01 06.7;+32 19;    ;
 391;01 06.2;+00 48;14.5;2
 392;01 07.0;+32 59;14.0;2
 393;01 07.2;+39 32;13.5;2
 394;01 07.0;+33 00;15.0;2
 395;01 04.3;-72 08;    ;
 396;01 09.0;+03 24;16.0;3
 397;01 07.1;+32 58;15.5;2
 398;01 07.4;+32 22;15.5;2
 399;01 07.6;+32 29;14.5;2
 400;01 07.6;+32 36;    ;
 401;01 07.7;+32 38;    ;
 402;01 07.8;+32 41;    ;
 403;01 07.9;+32 37;13.5;2
 404;01 08.1;+35 35;12.0;1
 405;01 07.2;-46 48;    ;
 406;01 06.6;-70 01;12.5;1
 407;01 09.2;+32 59;14.5;2
 408;01 09.5;+32 58;    ;
 409;01 08.5;-35 54;    ;
 410;01 09.6;+33 01;12.5;2
 411;01 07.1;-71 54;11.0;4
 412;01 09.1;-20 09;    ;
 413;01 08.2;-02 58;16.0;3
 414;01 09.9;+32 58;14.5;2
 415;01 09.0;-35 37;    ;
 416;01 07.4;-72 29;12.0;4
 417;01 09.9;-18 18;15.0;3
 418;01 09.4;-30 21;13.0;3
 419;01 07.7;-72 01;10.0;4
 420;01 10.7;+31 58;13.5;2
 421;01 10.7;+32 01;    ;
 422;01 08.7;-71 53;12.5;4
 423;01 10.2;-29 21;14.0;3
 424;01 10.2;-38 15;    ;
 425;01 11.6;+38 40;13.5;2
 426;01 11.6;-00 25;14.5;2
 427;01 11.3;-32 11;15.0;3
 428;01 11.7;+00 51;12.0;1
 429;01 11.7;-00 28;14.5;2
 430;01 11.8;-00 23;13.5;2
 431;01 12.8;+33 36;14.0;2
 432;01 10.8;-61 44;    ;
 433;01 13.7;+60 00;    ;
 434;01 11.2;-58 23;13.5;1
 434;01 11.5;-58 21;    ;
 435;01 12.7;+01 56;15.0;2
 436;01 14.0;+58 41; 9.5;5
 437;01 13.1;+05 48;14.0;2
 438;01 12.3;-38 04;    ;
 439;01 12.7;-31 52;13.0;3
 440;01 11.9;-58 25;    ;
 441;01 12.8;-31 55;14.0;3
 442;01 13.4;-01 09;14.5;2
 443;01 13.7;+33 15;14.0;2
 444;01 14.5;+30 57;14.5;2
 445;01 13.6;+01 48;15.5;2
 446;01 13.6;+04 03;15.5;2
 447;01 14.7;+32 58;15.0;2
 448;01 14.0;-01 45;13.0;2
 449;01 14.2;+32 56;14.0;2
 450;01 14.2;-01 00;12.5;1
 451;01 14.8;+32 56;15.0;2
